CRN,Course,Title,Crdts,Instructor,Days/Times,Waiver,Topic
19985,BIOL 210,Nutrition,3,"Carrera, Heather",R: 1530-1645,,
22159,BIOL 210,Nutrition,3,"Newberry, Sam",MW: 1400-1515,,
13049,BIOL 222,Principles of Genetics,3,"Hutchison, Betsy",MWF: 1030-1120,,
13911,BIOL 222,Principles of Genetics,3,"Militello, Kevin",MWF: 1130-1220,,
19987,BIOL 222,Principles of Genetics,3,"Hutchison, Betsy",MWF: 930-1020,,
16105,BIOL 223,Genetics Laboratory,1,"Morris, Nathan",T: 1400-1650,,
21496,BIOL 223,Genetics Laboratory,1,"Morris, Nathan",R: 1400-1650,,
14396,BIOL 300,Cell Biology,3,"Bailey, Travis",MWF: 830-920,,
22536,BIOL 304,Biotechnology,3,"Lewis, Jani",MW: 1530-1645,,
16280,BIOL 322,Molecular Biology,3,"Militello, Kevin",TR: 930-1045,,
17773,BIOL 335,Foundations of Biochemistry,3,"Jamburuthugoda, Varuni",MWF: 930-1020,,
21139,BIOL 335,Foundations of Biochemistry,3,"Jamburuthugoda, Varuni",MWF: 1030-1120,,
22806,BIOL 350,Applied Biostatistics,3,"Cole, Logan",,,
20357,BIOL 365,Anatomy & Physiology I,4,"Burch, Sara",MWF: 1230-1320,,
20358,BIOL 365,Anatomy & Physiology I,0,"Newberry, Sam",W: 830-1120,,
20359,BIOL 365,Anatomy & Physiology I,0,"Baecker, Joshua",W: 1330-1620,,
20360,BIOL 365,Anatomy & Physiology I,0,"Baecker, Joshua",R: 800-1050,,
20362,BIOL 365,Anatomy & Physiology I,0,"Burch, Sara",R: 1100-1350,,
21498,BIOL 365,Anatomy & Physiology I,0,"Newberry, Sam",R: 1400-1650,,
22529,BIOL 366,Anatomy & Physiology II,4,"Okoye, Chidozie",MWF: 1130-1220,,
22530,BIOL 366,Anatomy & Physiology II,0,"Baecker, Joshua",T: 930-1220,,
22531,BIOL 366,Anatomy & Physiology II,0,"Okoye, Chidozie",T: 1400-1650,,
22845,BIOL 390,Molecular Techniques,2,"Militello, Kevin",,,
22846,BIOL 390,Molecular Techniques,0,"Militello, Kevin",W: 1400-1650,,
12800,MATH 222,Calculus II,4,"Haddad, Caroline","MW: 800-915; F: 830-920",,
12801,MATH 222,Calculus II,4,"Kedzierawski, Andrzej","MW: 1230-1345; F: 1230-1320",,
22768,NEUR 301,Hormones & Behavior,3,"Bechard, Allison",TR: 930-1045,1,
22850,NEUR 388,Exp: Neurobiology of Disease,3,"Sweet, Tara",TR: 1530-1645,1,
16631,PHYS 113,General Physics I,3,"Pogozelski, Edward",TR: 930-1045,,
16632,PHYS 113,General Physics I,3,"Padalino, Stephen",TR: 1230-1345,,
16633,PHYS 114,Physics I Lab,1,"Freeman, Charles",M: 1230-1420,,
16634,PHYS 114,Physics I Lab,1,"Freeman, Charles",M: 1430-1620,,
16637,PHYS 114,Physics I Lab,1,"Freeman, Charles",M: 1630-1820,,
16638,PHYS 114,Physics I Lab,1,"Freeman, Charles",T: 1230-1420,,
16641,PHYS 114,Physics I Lab,1,"Freeman, Charles",T: 1430-1620,,
16642,PHYS 114,Physics I Lab,1,"Freeman, Charles",T: 1630-1820,,
16643,PHYS 114,Physics I Lab,1,"Freeman, Charles",W: 1230-1420,,
22277,PHYS 114,Physics I Lab,1,"Freeman, Charles",W: 1430-1620,,
22278,PHYS 114,Physics I Lab,1,"Freeman, Charles",W: 1630-1820,,
14072,PHYS 123,Analytical Physics I,3,"Marcus, George",MWF: 930-1020,,
21888,PHYS 123,Analytical Physics I,3,"Freeman, Charles",MWF: 1030-1120,,
14150,PHYS 124,Analytical Physics I Lab,1,"Osburn, Thomas",M: 1400-1650,,
17744,PHYS 124,Analytical Physics I Lab,1,"Fletcher, Kurt",T: 1300-1550,,
15958,PSYC 260,Intro to Psychopathology,3,"Van Stolk-Cooke, Cassie",TR: 930-1045,,
21794,PSYC 260,Intro to Psychopathology,3,"Wade, Amy",M: 1730-2000,,
22763,PSYC 305,Top: Applied Methods,3,"Ozubko, Jason",TR: 1700-1815,1,Functional Neuroimaging
22764,PSYC 305,Top: Applied Methods,3,"Merrilees, Christine",TR: 1230-1345,1,Multivariate Stats
22505,PSYC 307,Sensation & Perception,3,"Mounts, Jeffrey",MWF: 1230-1320,,
21233,PSYC 321,Top: Developmental Psyc,3,"Taber-Thomas, Bradley",TR: 1400-1515,1,Developmental Social-Cognitive Neuro
22765,PSYC 331,Top: Neural/Chem Basis of Behav,3,"Markowski, Vincent",MWF: 1230-1320,,Drug Therapy
15588,PSYC 366,Developmental Psychopathology,3,"Lynch, Michael",MWF: 1030-1120,,
22767,PSYC 366,Developmental Psychopathology,3,"Merrilees, Christine",TR: 1100-1215,,
21798,PSYC 383,Top: Adv Cog Psyc,3,"Ozubko, Jason",TR: 1400-1515,1,Heuristics and Biases
